lic_ticker,lic_name,year,expense,expense_category,expense_amount,lic_id
WAM,WAM Capital Limited,2019,Performance Fees,External Performance Fees,0,
WAM,WAM Capital Limited,2019,Directors Fees,Other Expenses,150000,
WAM,WAM Capital Limited,2019,Brokerage expense on share purchases,Transaction Costs (Brokerage),4251736,
WAM,WAM Capital Limited,2019,Custody fees,Other Expenses,101841,
WAM,WAM Capital Limited,2019,ASX listing and chess fees,Other Expenses,224441,
WAM,WAM Capital Limited,2019,Share registry fees,Other Expenses,315925,
WAM,WAM Capital Limited,2019,"Disbursements, mailing and printing",Other Expenses,272441,
WAM,WAM Capital Limited,2019,Legal and professional fees,Other Expenses,170203,
WAM,WAM Capital Limited,2019,ASIC industry funding levy,Other Expenses,112582,
WAM,WAM Capital Limited,2019,Other expenses from ordinary activities,Other Expenses,427834,
WAM,WAM Capital Limited,2020,Management Fees,External Management Fees,13118338,
WAM,WAM Capital Limited,2020,Performance Fees,External Performance Fees,0,
WAM,WAM Capital Limited,2020,Directors Fees,Other Expenses,140710,
WAM,WAM Capital Limited,2020,Brokerage expense on share purchases,Transaction Costs (Brokerage),4811676,
WAM,WAM Capital Limited,2020,Custody fees,Other Expenses,107464,
WAM,WAM Capital Limited,2020,ASX listing and chess fees,Other Expenses,228690,
WAM,WAM Capital Limited,2020,Share registry fees,Other Expenses,291044,
WAM,WAM Capital Limited,2020,"Disbursements, mailing and printing",Other Expenses,280782,
WAM,WAM Capital Limited,2020,Legal and professional fees,Other Expenses,41307,
WAM,WAM Capital Limited,2020,ASIC industry funding levy,Other Expenses,54042,
WAM,WAM Capital Limited,2020,Other expenses from ordinary activities,Other Expenses,371378,
WAM,WAM Capital Limited,2021,Management Fees,External Management Fees,14883996,
WAM,WAM Capital Limited,2021,Performance Fees,External Performance Fees,14015604,
WAM,WAM Capital Limited,2021,Directors Fees,Other Expenses,173333,
WAM,WAM Capital Limited,2021,Brokerage expense on share purchases,Transaction Costs (Brokerage),5121104,
WAM,WAM Capital Limited,2021,Custody fees,Other Expenses,77342,
WAM,WAM Capital Limited,2021,ASX listing and chess fees,Other Expenses,250154,
WAM,WAM Capital Limited,2021,Share registry fees,Other Expenses,413073,
WAM,WAM Capital Limited,2021,"Disbursements, mailing and printing",Other Expenses,369484,
WAM,WAM Capital Limited,2021,Legal and professional fees,Other Expenses,475968,
WAM,WAM Capital Limited,2021,ASIC industry funding levy,Other Expenses,55861,
WAM,WAM Capital Limited,2021,Other expenses from ordinary activities,Other Expenses,372781,
WAM,WAM Capital Limited,2022,Management Fees,External Management Fees,17427798,
WAM,WAM Capital Limited,2022,Performance Fees,External Performance Fees,0,
WAM,WAM Capital Limited,2022,Directors Fees,Other Expenses,180000,
WAM,WAM Capital Limited,2022,Brokerage expense on share purchases,Transaction Costs (Brokerage),5077813,
WAM,WAM Capital Limited,2022,Custody fees,Other Expenses,129305,
WAM,WAM Capital Limited,2022,ASX listing and chess fees,Other Expenses,271040,
WAM,WAM Capital Limited,2022,Share registry fees,Other Expenses,599339,
WAM,WAM Capital Limited,2022,"Disbursements, mailing and printing",Other Expenses,339667,
WAM,WAM Capital Limited,2022,Legal and professional fees,Other Expenses,492519,
WAM,WAM Capital Limited,2022,ASIC industry funding levy,Other Expenses,42239,
WAM,WAM Capital Limited,2022,Other expenses from ordinary activities,Other Expenses,518643,
WAM,WAM Capital Limited,2023,Management Fees,External Management Fees,16333461,
WAM,WAM Capital Limited,2023,Performance Fees,External Performance Fees,6431510,
WAM,WAM Capital Limited,2023,Directors Fees,Other Expenses,190000,
WAM,WAM Capital Limited,2023,Brokerage expense on share purchases,Transaction Costs (Brokerage),5691308,
WAM,WAM Capital Limited,2023,Custody fees,Other Expenses,128380,
WAM,WAM Capital Limited,2023,ASX listing and chess fees,Other Expenses,300359,
WAM,WAM Capital Limited,2023,Share registry fees,Other Expenses,374944,
WAM,WAM Capital Limited,2023,"Disbursements, mailing and printing",Other Expenses,265372,
WAM,WAM Capital Limited,2023,Legal and professional fees,Other Expenses,44278,
WAM,WAM Capital Limited,2023,ASIC industry funding levy,Other Expenses,49250,
WAM,WAM Capital Limited,2023,Other expenses from ordinary activities,Other Expenses,724832,
WLE,WAM Leaders Limited,2017,Performance Fees,External Performance Fees,0,
WLE,WAM Leaders Limited,2017,Management Fees,External Management Fees,4794283,
WLE,WAM Leaders Limited,2017,Directors Fees,Other Expenses,98607,
WLE,WAM Leaders Limited,2017,Brokerage expense on share purchases,Transaction Costs (Brokerage),2620931,
WLE,WAM Leaders Limited,2017,Custody fees,Other Expenses,34372,
WLE,WAM Leaders Limited,2017,ASX listing and chess fees,Other Expenses,155208,
WLE,WAM Leaders Limited,2017,Share registry fees,Other Expenses,235959,
WLE,WAM Leaders Limited,2017,"Disbursements, mailing and printing",Other Expenses,53660,
WLE,WAM Leaders Limited,2017,Legal and professional fees,Other Expenses,0,
WLE,WAM Leaders Limited,2017,ASIC industry funding levy,Other Expenses,0,
WLE,WAM Leaders Limited,2017,Other expenses from ordinary activities,Other Expenses,210905,
WLE,WAM Leaders Limited,2018,Performance Fees,External Performance Fees,3318452,
WLE,WAM Leaders Limited,2018,Management Fees,External Management Fees,7527090,
WLE,WAM Leaders Limited,2018,Directors Fees,Other Expenses,90000,
WLE,WAM Leaders Limited,2018,Brokerage expense on share purchases,Transaction Costs (Brokerage),2880276,
WLE,WAM Leaders Limited,2018,Custody fees,Other Expenses,65039,
WLE,WAM Leaders Limited,2018,ASX listing and chess fees,Other Expenses,135651,
WLE,WAM Leaders Limited,2018,Share registry fees,Other Expenses,182424,
WLE,WAM Leaders Limited,2018,"Disbursements, mailing and printing",Other Expenses,94823,
WLE,WAM Leaders Limited,2018,Legal and professional fees,Other Expenses,0,
WLE,WAM Leaders Limited,2018,ASIC industry funding levy,Other Expenses,0,
WLE,WAM Leaders Limited,2018,Other expenses from ordinary activities,Other Expenses,241260,
WLE,WAM Leaders Limited,2019,Performance Fees,External Performance Fees,0,
WLE,WAM Leaders Limited,2019,Management Fees,External Management Fees,8926721,
WLE,WAM Leaders Limited,2019,Directors Fees,Other Expenses,90000,
WLE,WAM Leaders Limited,2019,Brokerage expense on share purchases,Transaction Costs (Brokerage),3319937,
WLE,WAM Leaders Limited,2019,Custody fees,Other Expenses,83142,
WLE,WAM Leaders Limited,2019,ASX listing and chess fees,Other Expenses,134465,
WLE,WAM Leaders Limited,2019,Share registry fees,Other Expenses,137184,
WLE,WAM Leaders Limited,2019,"Disbursements, mailing and printing",Other Expenses,118268,
WLE,WAM Leaders Limited,2019,Legal and professional fees,Other Expenses,0,
WLE,WAM Leaders Limited,2019,ASIC industry funding levy,Other Expenses,66470,
WLE,WAM Leaders Limited,2019,Other expenses from ordinary activities,Other Expenses,289002,
WLE,WAM Leaders Limited,2020,Performance Fees,External Performance Fees,14768023,
WLE,WAM Leaders Limited,2020,Management Fees,External Management Fees,9935314,
WLE,WAM Leaders Limited,2020,Directors Fees,Other Expenses,125000,
WLE,WAM Leaders Limited,2020,Brokerage expense on share purchases,Transaction Costs (Brokerage),3658657,
WLE,WAM Leaders Limited,2020,Custody fees,Other Expenses,82881,
WLE,WAM Leaders Limited,2020,ASX listing and chess fees,Other Expenses,148083,
WLE,WAM Leaders Limited,2020,Share registry fees,Other Expenses,181453,
WLE,WAM Leaders Limited,2020,"Disbursements, mailing and printing",Other Expenses,155258,
WLE,WAM Leaders Limited,2020,Legal and professional fees,Other Expenses,0,
WLE,WAM Leaders Limited,2020,ASIC industry funding levy,Other Expenses,36457,
WLE,WAM Leaders Limited,2020,Other expenses from ordinary activities,Other Expenses,312859,
WLE,WAM Leaders Limited,2021,Performance Fees,External Performance Fees,14961743,
WLE,WAM Leaders Limited,2021,Management Fees,External Management Fees,11228651,
WLE,WAM Leaders Limited,2021,Directors Fees,Other Expenses,125000,
WLE,WAM Leaders Limited,2021,Brokerage expense on share purchases,Transaction Costs (Brokerage),4147655,
WLE,WAM Leaders Limited,2021,Custody fees,Other Expenses,70999,
WLE,WAM Leaders Limited,2021,ASX listing and chess fees,Other Expenses,154456,
WLE,WAM Leaders Limited,2021,Share registry fees,Other Expenses,163574,
WLE,WAM Leaders Limited,2021,"Disbursements, mailing and printing",Other Expenses,117085,
WLE,WAM Leaders Limited,2021,Legal and professional fees,Other Expenses,0,
WLE,WAM Leaders Limited,2021,ASIC industry funding levy,Other Expenses,23010,
WLE,WAM Leaders Limited,2021,Other expenses from ordinary activities,Other Expenses,319949,
WLE,WAM Leaders Limited,2022,Performance Fees,External Performance Fees,42817182,
WLE,WAM Leaders Limited,2022,Management Fees,External Management Fees,15650988,
WLE,WAM Leaders Limited,2022,Directors Fees,Other Expenses,125000,
WLE,WAM Leaders Limited,2022,Brokerage expense on share purchases,Transaction Costs (Brokerage),6422508,
WLE,WAM Leaders Limited,2022,Custody fees,Other Expenses,132120,
WLE,WAM Leaders Limited,2022,ASX listing and chess fees,Other Expenses,193067,
WLE,WAM Leaders Limited,2022,Share registry fees,Other Expenses,189941,
WLE,WAM Leaders Limited,2022,"Disbursements, mailing and printing",Other Expenses,138941,
WLE,WAM Leaders Limited,2022,Legal and professional fees,Other Expenses,96890,
WLE,WAM Leaders Limited,2022,ASIC industry funding levy,Other Expenses,51212,
WLE,WAM Leaders Limited,2022,Other expenses from ordinary activities,Other Expenses,427385,
WLE,WAM Leaders Limited,2023,Performance Fees,External Performance Fees,0,
WLE,WAM Leaders Limited,2023,Management Fees,External Management Fees,16741958,
WLE,WAM Leaders Limited,2023,Directors Fees,Other Expenses,132500,
WLE,WAM Leaders Limited,2023,Brokerage expense on share purchases,Transaction Costs (Brokerage),8116725,
WLE,WAM Leaders Limited,2023,Custody fees,Other Expenses,144104,
WLE,WAM Leaders Limited,2023,ASX listing and chess fees,Other Expenses,216471,
WLE,WAM Leaders Limited,2023,Share registry fees,Other Expenses,219975,
WLE,WAM Leaders Limited,2023,"Disbursements, mailing and printing",Other Expenses,158621,
WLE,WAM Leaders Limited,2023,Legal and professional fees,Other Expenses,160914,
WLE,WAM Leaders Limited,2023,ASIC industry funding levy,Other Expenses,52086,
WLE,WAM Leaders Limited,2023,Other expenses from ordinary activities,Other Expenses,520607,
LSF,L1 Long Short Fund Limited,2019,Management Fees,External Management Fees,15353000,
LSF,L1 Long Short Fund Limited,2019,Performance Fees,External Performance Fees,0,
LSF,L1 Long Short Fund Limited,2019,Brokerage expense,Transaction Costs (Brokerage),7754000,
LSF,L1 Long Short Fund Limited,2019,Administration fees,Other Expenses,215000,
LSF,L1 Long Short Fund Limited,2019,Share registry fees,Other Expenses,199000,
LSF,L1 Long Short Fund Limited,2019,Custody fees,Other Expenses,46000,
LSF,L1 Long Short Fund Limited,2019,Secretarial fees,Other Expenses,69000,
LSF,L1 Long Short Fund Limited,2019,Legal fees,Other Expenses,12000,
LSF,L1 Long Short Fund Limited,2019,Directors Fees,Other Expenses,300000,
LSF,L1 Long Short Fund Limited,2019,ASX Fees,Other Expenses,1089000,
LSF,L1 Long Short Fund Limited,2019,Audit Fees,Other Expenses,87000,
LSF,L1 Long Short Fund Limited,2019,Other expenses,Other Expenses,1324000,
LSF,L1 Long Short Fund Limited,2019,Expense reimbursement from Investment Manager,External Management Fees,-2583000,
LSF,L1 Long Short Fund Limited,2020,Management Fees,External Management Fees,15640000,
LSF,L1 Long Short Fund Limited,2020,Performance Fees,External Performance Fees,0,
LSF,L1 Long Short Fund Limited,2020,Brokerage expense,Transaction Costs (Brokerage),14077000,
LSF,L1 Long Short Fund Limited,2020,Administration fees,Other Expenses,310000,
LSF,L1 Long Short Fund Limited,2020,Share registry fees,Other Expenses,146000,
LSF,L1 Long Short Fund Limited,2020,Custody fees,Other Expenses,26000,
LSF,L1 Long Short Fund Limited,2020,Secretarial fees,Other Expenses,60000,
LSF,L1 Long Short Fund Limited,2020,Legal fees,Other Expenses,91000,
LSF,L1 Long Short Fund Limited,2020,Directors Fees,Other Expenses,300000,
LSF,L1 Long Short Fund Limited,2020,ASX Fees,Other Expenses,138000,
LSF,L1 Long Short Fund Limited,2020,Audit Fees,Other Expenses,107000,
LSF,L1 Long Short Fund Limited,2020,Other expenses,Other Expenses,678000,
LSF,L1 Long Short Fund Limited,2021,Management Fees,External Management Fees,20639000,
LSF,L1 Long Short Fund Limited,2021,Performance Fees,External Performance Fees,128687000,
LSF,L1 Long Short Fund Limited,2021,Brokerage expense,Transaction Costs (Brokerage),14281000,
LSF,L1 Long Short Fund Limited,2021,Administration fees,Other Expenses,233000,
LSF,L1 Long Short Fund Limited,2021,Share registry fees,Other Expenses,165000,
LSF,L1 Long Short Fund Limited,2021,Custody fees,Other Expenses,0,
LSF,L1 Long Short Fund Limited,2021,Secretarial fees,Other Expenses,74000,
LSF,L1 Long Short Fund Limited,2021,Legal fees,Other Expenses,117000,
LSF,L1 Long Short Fund Limited,2021,Directors Fees,Other Expenses,330000,
LSF,L1 Long Short Fund Limited,2021,ASX Fees,Other Expenses,139000,
LSF,L1 Long Short Fund Limited,2021,Audit Fees,Other Expenses,130000,
LSF,L1 Long Short Fund Limited,2021,Other expenses,Other Expenses,756000,
LSF,L1 Long Short Fund Limited,2021,Expense reimbursement from Investment Manager,External Management Fees,-616000,
LSF,L1 Long Short Fund Limited,2022,Management Fees,External Management Fees,28027000,
LSF,L1 Long Short Fund Limited,2022,Performance Fees,External Performance Fees,46422000,
LSF,L1 Long Short Fund Limited,2022,Brokerage expense,Transaction Costs (Brokerage),16638000,
LSF,L1 Long Short Fund Limited,2022,Administration fees,Other Expenses,235000,
LSF,L1 Long Short Fund Limited,2022,Share registry fees,Other Expenses,199000,
LSF,L1 Long Short Fund Limited,2022,Custody fees,Other Expenses,0,
LSF,L1 Long Short Fund Limited,2022,Secretarial fees,Other Expenses,59000,
LSF,L1 Long Short Fund Limited,2022,Legal fees,Other Expenses,48000,
LSF,L1 Long Short Fund Limited,2022,Directors Fees,Other Expenses,370000,
LSF,L1 Long Short Fund Limited,2022,ASX Fees,Other Expenses,182000,
LSF,L1 Long Short Fund Limited,2022,Audit Fees,Other Expenses,164000,
LSF,L1 Long Short Fund Limited,2022,Other expenses,Other Expenses,724000,
LSF,L1 Long Short Fund Limited,2022,Expense reimbursement from Investment Manager,External Management Fees,-754000,
LSF,L1 Long Short Fund Limited,2023,Management Fees,External Management Fees,24752000,
LSF,L1 Long Short Fund Limited,2023,Performance Fees,External Performance Fees,57479000,
LSF,L1 Long Short Fund Limited,2023,Brokerage expense,Transaction Costs (Brokerage),16359000,
LSF,L1 Long Short Fund Limited,2023,Administration fees,Other Expenses,286000,
LSF,L1 Long Short Fund Limited,2023,Share registry fees,Other Expenses,209000,
LSF,L1 Long Short Fund Limited,2023,Custody fees,Other Expenses,0,
LSF,L1 Long Short Fund Limited,2023,Secretarial fees,Other Expenses,58000,
LSF,L1 Long Short Fund Limited,2023,Legal fees,Other Expenses,32000,
LSF,L1 Long Short Fund Limited,2023,Directors Fees,Other Expenses,390000,
LSF,L1 Long Short Fund Limited,2023,ASX Fees,Other Expenses,193000,
LSF,L1 Long Short Fund Limited,2023,Audit Fees,Other Expenses,133000,
LSF,L1 Long Short Fund Limited,2023,Other expenses,Other Expenses,805000,
LSF,L1 Long Short Fund Limited,2023,Expense reimbursement from Investment Manager,External Management Fees,-682000,
MFF,MFF Capital Investments Limited,2014,Management fees,External Management Fees,1466000,
MFF,MFF Capital Investments Limited,2014,Research and service fees,Other Expenses,3914000,
MFF,MFF Capital Investments Limited,2014,Executive Director's salary,Other Expenses,750000,
MFF,MFF Capital Investments Limited,2014,Non Executive Director's fees,Other Expenses,224000,
MFF,MFF Capital Investments Limited,2014,Transaction costs,Transaction Costs (Brokerage),83000,
MFF,MFF Capital Investments Limited,2014,Registry fees,Other Expenses,194000,
MFF,MFF Capital Investments Limited,2014,Fund administration and operational costs,Other Expenses,65000,
MFF,MFF Capital Investments Limited,2014,"ASX listing, clearing and settlement fees",Other Expenses,84000,
MFF,MFF Capital Investments Limited,2014,Auditor's remuneration,Other Expenses,70000,
MFF,MFF Capital Investments Limited,2014,Legal and professional fees,Other Expenses,19000,
MFF,MFF Capital Investments Limited,2014,Employment related taxes,Other Expenses,49000,
MFF,MFF Capital Investments Limited,2014,Other expenses,Other Expenses,83000,
MFF,MFF Capital Investments Limited,2015,Management fees,External Management Fees,0,
MFF,MFF Capital Investments Limited,2015,Research and service fees,Other Expenses,9424000,
MFF,MFF Capital Investments Limited,2015,Executive Director's salary,Other Expenses,1000000,
MFF,MFF Capital Investments Limited,2015,Non Executive Director's fees,Other Expenses,284000,
MFF,MFF Capital Investments Limited,2015,Transaction costs,Transaction Costs (Brokerage),47000,
MFF,MFF Capital Investments Limited,2015,Registry fees,Other Expenses,214000,
MFF,MFF Capital Investments Limited,2015,Fund administration and operational costs,Other Expenses,73000,
MFF,MFF Capital Investments Limited,2015,"ASX listing, clearing and settlement fees",Other Expenses,111000,
MFF,MFF Capital Investments Limited,2015,Auditor's remuneration,Other Expenses,72000,
MFF,MFF Capital Investments Limited,2015,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2015,Employment related taxes,Other Expenses,68000,
MFF,MFF Capital Investments Limited,2015,Other expenses,Other Expenses,116000,
MFF,MFF Capital Investments Limited,2016,Research and service fees,Other Expenses,9863000,
MFF,MFF Capital Investments Limited,2016,Executive Director's salary,Other Expenses,1000000,
MFF,MFF Capital Investments Limited,2016,Non-Executive Director's fees,Other Expenses,287000,
MFF,MFF Capital Investments Limited,2016,Transaction costs,Transaction Costs (Brokerage),33000,
MFF,MFF Capital Investments Limited,2016,Registry fees,Other Expenses,240000,
MFF,MFF Capital Investments Limited,2016,"ASX listing, clearing and settlement fees",Other Expenses,116000,
MFF,MFF Capital Investments Limited,2016,Fund administration and operational costs,Other Expenses,76000,
MFF,MFF Capital Investments Limited,2016,Auditor's remuneration,Other Expenses,75000,
MFF,MFF Capital Investments Limited,2016,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2016,Employment related taxes,Other Expenses,68000,
MFF,MFF Capital Investments Limited,2016,Other expenses,Other Expenses,128000,
MFF,MFF Capital Investments Limited,2017,Research and service fees,Other Expenses,7536000,
MFF,MFF Capital Investments Limited,2017,Managing Director's salary,Other Expenses,1000000,
MFF,MFF Capital Investments Limited,2017,Non-Executive Director's fees,Other Expenses,287000,
MFF,MFF Capital Investments Limited,2017,Transaction costs,Transaction Costs (Brokerage),38000,
MFF,MFF Capital Investments Limited,2017,Registry fees,Other Expenses,136000,
MFF,MFF Capital Investments Limited,2017,"ASX listing, clearing and settlement fees",Other Expenses,115000,
MFF,MFF Capital Investments Limited,2017,Fund administration and operational costs,Other Expenses,78000,
MFF,MFF Capital Investments Limited,2017,Auditor's remuneration,Other Expenses,64000,
MFF,MFF Capital Investments Limited,2017,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2017,Employment related taxes,Other Expenses,68000,
MFF,MFF Capital Investments Limited,2017,Other expenses,Other Expenses,108000,
MFF,MFF Capital Investments Limited,2018,Research and service fees,Other Expenses,5000000,
MFF,MFF Capital Investments Limited,2018,Managing Director's salary,Other Expenses,1000000,
MFF,MFF Capital Investments Limited,2018,Non-Executive Director's fees,Other Expenses,288000,
MFF,MFF Capital Investments Limited,2018,Transaction costs,Transaction Costs (Brokerage),49000,
MFF,MFF Capital Investments Limited,2018,Registry fees,Other Expenses,175000,
MFF,MFF Capital Investments Limited,2018,"ASX listing, clearing and settlement fees",Other Expenses,133000,
MFF,MFF Capital Investments Limited,2018,Fund administration and operational costs,Other Expenses,76000,
MFF,MFF Capital Investments Limited,2018,Auditor's remuneration,Other Expenses,67000,
MFF,MFF Capital Investments Limited,2018,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2018,Employment related taxes,Other Expenses,69000,
MFF,MFF Capital Investments Limited,2018,Other expenses,Other Expenses,100000,
MFF,MFF Capital Investments Limited,2019,Research and service fees,Other Expenses,5000000,
MFF,MFF Capital Investments Limited,2019,Managing Director's salary,Other Expenses,1000000,
MFF,MFF Capital Investments Limited,2019,Non-Executive Director's fees,Other Expenses,312000,
MFF,MFF Capital Investments Limited,2019,Long service leave statutory expense,Other Expenses,94000,
MFF,MFF Capital Investments Limited,2019,Transaction costs,Transaction Costs (Brokerage),40000,
MFF,MFF Capital Investments Limited,2019,Registry fees,Other Expenses,143000,
MFF,MFF Capital Investments Limited,2019,"ASX listing, clearing and settlement fees",Other Expenses,140000,
MFF,MFF Capital Investments Limited,2019,Fund administration and operational costs,Other Expenses,84000,
MFF,MFF Capital Investments Limited,2019,Auditor's remuneration,Other Expenses,73000,
MFF,MFF Capital Investments Limited,2019,Regulatory levy,Other Expenses,47000,
MFF,MFF Capital Investments Limited,2019,Legal and professional fees,Other Expenses,0,
MFF,MFF Capital Investments Limited,2019,Employment related taxes,Other Expenses,70000,
MFF,MFF Capital Investments Limited,2019,Other expenses,Other Expenses,46000,
MFF,MFF Capital Investments Limited,2020,Research and service fees,Other Expenses,5000000,
MFF,MFF Capital Investments Limited,2020,Managing Director's salary,Other Expenses,1500000,
MFF,MFF Capital Investments Limited,2020,Non-Executive Director's fees,Other Expenses,445000,
MFF,MFF Capital Investments Limited,2020,Long service leave statutory expense,Other Expenses,72000,
MFF,MFF Capital Investments Limited,2020,Transaction costs,Transaction Costs (Brokerage),109000,
MFF,MFF Capital Investments Limited,2020,Registry fees,Other Expenses,219000,
MFF,MFF Capital Investments Limited,2020,"ASX listing, clearing and settlement fees",Other Expenses,195000,
MFF,MFF Capital Investments Limited,2020,Fund administration and operational costs,Other Expenses,88000,
MFF,MFF Capital Investments Limited,2020,Auditor's remuneration,Other Expenses,71000,
MFF,MFF Capital Investments Limited,2020,Regulatory levy,Other Expenses,64000,
MFF,MFF Capital Investments Limited,2020,Legal and professional fees,Other Expenses,7000,
MFF,MFF Capital Investments Limited,2020,Employment related taxes,Other Expenses,104000,
MFF,MFF Capital Investments Limited,2020,Other expenses,Other Expenses,143000,
MFF,MFF Capital Investments Limited,2021,Research and service fees,Other Expenses,4000000,
MFF,MFF Capital Investments Limited,2021,Managing Director's salary,Other Expenses,1500000,
