lic_ticker,lic_name,year_updated,kp_name,kp_year_joined,kp_role_chairman,kp_role_director,kp_role_investmentmanager,kp_role_title,kp_bio,kp_shares_owned,share_price_eoy,kp_share_value,kp_image_saved,kp_image_file_name,lic_id
PGF,PM Capital Global Opportunities Fund Limited,2023,Brett Spork,2015,No,Yes,No,Independent Non-executive Director,"Indepedent Non-executive Director. Chairman of the Nomination and Corporate Governance Committee. Chairman of the PGF Audit Committee.

Mr Spork has over 30 years' experience in the financial markets industry as a trader, advisor and senior manager, both within Australia and overseas. He currently provides consulting services to a broad range of financial institutions. Such consulting services comprise the provision of commercial, business development and regulatory advice. Previously, Mr Spork was the Chief Executive Officer of InvestorFirst Limited and BTIG Australia Limited. 

During the period 2002 to 2006, Mr Spork was the Chief Executive Officer of E*Trade Australia Limited. Before joining E*Trade Australia Limited, he worked at Macquarie Bank for 14 years, the latter part as an Executive Director of Macquarie Financial Services. Mr Spork also serves as Non-executive director of Clime Investment Management Limited, and a Director of APP Securities Limited. 

Mr Spork holds a Bachelor of Business from the Queensland University of Technology. In 2004, he was recognised by the Australian Stockbrokers Foundation and admitted to its Hall of Fame.",67153,1.78,119532,Yes,pgf_brett_spork,
PGF,PM Capital Global Opportunities Fund Limited,2023,Ben Skilbeck,2015,No,Yes,No,Executive Director,"Executive Director. Member of the PGF Audit Committee. Member of the PGF Nomination and Corporate Governance Committee.

Mr Skilbeck has over 27 years' experience in financial markets. He joined the Investment Manager of the Company in February 2015 as the Chief Executive Officer (CEO) and is responsible for implementing and contributing to the determination of the operational and strategic objectives of the Investment Manager's business. Mr Skilbeck has an Investment Banking background, having worked in both Australia and the US with Merrill Lynch and Credit Suisse, where he focused on mergers and acquisitions and corporate finance advisory. 

Before joining the Investment Manager Mr Skilbeck was most recently the CEO of Rismark, a provider of quantitative research solutions and synthetic equity exposures over the Australian residential property sector. 

Mr Skilbeck is also a Director of PM Capital Limited. Mr Skilbeck attended the University of Melbourne and holds a Bachelor of Engineering (with Honours) and a Bachelor of Commerce.",331276,1.78,589671,Yes,pgf_ben_skilbeck,
PGF,PM Capital Global Opportunities Fund Limited,2023,Paul Moore,2013,No,No,Yes,Portfolio Manager. CIO and Chairman of PM Capital Limited (Investment Manager).,"Portfolio Manager.

Paul Moore is the founder and Chief Investment Officer of PM Capital, leading an experienced and knowledgeable team. He developed the investment philosophy and process that has underpinned PM Capital's excess return generation compared with benchmark indices since its inception. 

Paul began his career in 1985 as an industrial equity analyst. In 1986 he became Portfolio Manager of the BT Select Markets American Growth Fund, acknowledged as one of the sector's leading mutual fund performers. From 1994 to 1998 Paul assumed responsibility for the BT Split Trust and BT Select Markets International Trust, two of Australia's best performing global equities funds. During this period he was also Head of BT's Retail International Equity Group, which was awarded International Equity Manager of the Year in 1995 and 1996. 

Paul established PM Capital in 1998. PM Capital has been the investment manager of PM Capital Global Opportunities Fund Limited since IPO in 2013.

He is known to invest with patience and conviction, ignoring short term market trends to uncover mispriced assets in industries as diverse as brewing, banking and casinos, in countries from the US, to Ireland, to Argentina. 

Paul holds a Bachelor of Commerce (Honours) degree, majoring in Finance from the University of New South Wales. 

Paul is passionate about youth development in sport, having sponsored both the Sydney Swans and GWS Giants Academies.",66079010,1.78,117620638,Yes,pgf_paul_moore,
VG1,VGI Partners Global Investments Limited,2023,David F Jones AM,2017,Yes,Yes,No,Chairman,"David has more than 30 years' experience in investment markets, the majority as a general partner in private equity firms, and prior to that in general management and management consulting. David has been a board member of numerous private and public businesses, including a number in the wealth management sector. David was a Managing Director at CHAMP Private Equity (2002-2011); Executive Director and Country Head of UBS Capital (1999-2002) and a Division Director at Macquarie Direct Investment (1994-1999). David commenced his career as a Business Analyst at McKinsey and Co. in 1987. He holds a Mechanical Engineering degree from the University of Melbourne (First Class Honours) and a Master of Business Administration from Harvard Business School. 

David is a non-executive member of the investment committee of Aviron Investment Management and EMR Capital, Chairman of DTS Capital and a Board member of the Clean Energy Finance Corporation. 

David is also a Director of Regal Asian Investments Limited (RG8).",334985,1.63,546026,No,vg1_david_jones,
VG1,VGI Partners Global Investments Limited,2023,Lawrence Myers,2017,No,Yes,No,Independent Director,"Lawrence is the Founder and Managing Director of MBP Advisory Pty Limited, a prominent, high-end Sydney firm of Chartered Accountants which he established in 1998. Mr Myers is also the CEO of FIFO Investments Pty Limited, the family office for the Myers family and a number of associated families. Mr Myers' specialist areas of practice include mergers and acquisitions, corporate and business advisory, tax consulting and advisory, succession planning and family office services. He is also a member of the Foundation board of the Art Gallery of New South Wales. Mr Myers holds a Bachelor of Accountancy from the University of South Australia. He is a member of Chartered Accountants Australia and New Zealand, The Taxation Institute of Australia and the NTAA. Mr Myers is also a Registered Company Auditor and a Registered Tax Agent. 

Lawrence has been a non-executive director and Chairman of the Audit and Risk Committee of ASX-listed Breville Group Limited since 2013 and has been its lead independent director since August 2014 and its Deputy Chairman since August 2021. 

Lawrence is the Chairman of VG1's Audit and Risk Committee and the Independent Chairman of Regal Asian Investments Limited (RG8).",680000,1.63,1108400,No,vg1_lawrence_myers,
VG1,VGI Partners Global Investments Limited,2023,Noel J J Whittaker AM,2017,No,Yes,No,Independent Director,"Noel is a pioneer in the field of consumer financial education. He writes weekly columns in many major newspapers including the Brisbane Sunday Mail, the Sydney Morning Herald and The Age. For 30 years, he was the Director of Whittaker Macnaught, one of Australia's leading financial advisory companies, with more than two billion dollars under management. He relinquished all interests in that business in 2007. In 2011 he was made a Member of the Order of Australia for service to the community in raising awareness of personal finance. Noel is a Chartered Tax Adviser, a member of the Australian Securities and Investment Commission Regional Liaison committee and is currently an Adjunct Professor with the Faculty of Business at the Queensland University of Technology.",257207,1.63,419247,No,vg1_noel_whittaker,
VG1,VGI Partners Global Investments Limited,2023,Adelaide H McDonald,2019,No,Yes,No,Independent Director,"Adelaide has over 15 years' experience in corporate advisory and equity research. She is currently a Non-Executive Director of XTEK Limited (ASX:XTE) as well as an Executive Director of MDH Pty Ltd, one of Australia's largest integrated beef producers. In addition, she has held roles as a Director at KPMG in the Mergers and Acquisitions practice with previous roles at Wilson HTM and BDO Kendalls. Adelaide graduated from the University of Queensland with a Bachelor of Commerce, with majors in Accounting and Finance, and a Bachelor of Business Management, majoring in Business Economics. She has completed the CFA Program and has been awarded the CFA Charter. Ms McDonald is a member of VG1's Audit and Risk Committee. 

Ms McDonald is an Independent Director of Regal Asian Investments Limited (RG8).",33475,1.63,54564,No,vg1_adelaide_mcdonald,
VG1,VGI Partners Global Investments Limited,2023,Robert Luciano,2017,No,No,No,Chief Investment Officer of Regal Partners (Investment Manager),"Mr Luciano has over twenty-five years experience gained as a portfolio manager, equities analyst and accountant. Prior to founding VGI Partners in 2008, Mr Luciano spent five years as an Executive Director and Investment Manager with Caledonia Investments in Sydney. Mr Luciano commenced his career as an accountant with BDO Nelson Parkhill in 1993. Mr Luciano is a CFA Charter Holder.",,,,Yes,vg1_robert_luciano,
VG1,VGI Partners Global Investments Limited,2023,Marco Anselmi,2017,No,No,Yes,Portfolio Manager of Regal Partners (Investment Manager),"Mr Anselmi has nearly 10 years' experience as a portfolio manager and analyst focused on global equities coverage at VGI Partners, where he started his career in funds management. Mr Anselmi holds a Bachelor of Finance and Economics (Honours) from the University of Sydney. He is a CFA Charter Holder.",,,,Yes,vg1_marco_anselmi,
VG1,VGI Partners Global Investments Limited,2023,Simon Birrell,2022,No,No,Yes,Portfolio Manager of Regal Partners (Investment Manager),"Mr Birrell has over 14 years' experience as an investment manager and analyst focused on global equities and private equity. He has worked at firms including Antipodes, Manikay Partners, and Crescent Capital Partners. While at Crescent Capital Partners, he was a Board representative for National Hearing Care and Cover-More Insurance. Mr Birrell holds a Bachelor of Commerce (Finance) and Property and Construction, (Property Markets) from the University of Melbourne and is a Graduate of the AICD Company Directors Course.",,,,Yes,vg1_simon_birrell,
WLE,WAM Leaders Limited,2023,Geoff Wilson AO,2016,Yes,Yes,No,Chairman - Non-independent,"Chairman of the Board.

Geoff Wilson has over 43 years' direct experience in investment markets having held a variety of senior investment roles in Australia, the UK and the US. Geoff founded Wilson Asset Management in 1997 and created Australia's first listed philanthropic wealth creation vehicles, Future Generation Australia Limited and Future Generation Global Limited. Geoff holds a Bachelor of Science, a Graduate Management Qualification and is a Fellow of the Financial Services Institute of Australia and the Australian Institute of Company Directors (AICD).

Geoff Wilson is currently Chairman of WAM Capital Limited (appointed March 1999), WAM Research Limited (appointed June 2003), WAM Active Limited (appointed July 2007), WAM Microcap Limited (appointed March 2017), WAM Global Limited (appointed February 2018) and WAM Strategic Value Limited (appointed March 2021). He is the founder and a Director of Future Generation Australia Limited (appointed July 2014) and Future Generation Global Limited (appointed May 2015) and a Director of WAM Alternative Assets Limited (appointed September 2020), Global Value Fund Limited (appointed April 2014) and Hearts and Minds Investments Limited (appointed September 2018).
",12933081,1.45,18752967,Yes,wle_geoff_wilson,
WLE,WAM Leaders Limited,2023,Kate Thorley,2016,No,Yes,No,Director - Non-independent,"Member of the Audit and Risk Committee.

Kate Thorley has over 18 years' experience in the funds management industry and more than 24 years of financial accounting and corporate governance experience. Kate is the Chief Executive Officer of Wilson Asset Management (International) Pty Limited, Director of WAM Capital Limited, WAM Active Limited, WAM Research Limited, WAM Microcap Limited, WAM Global Limited, WAM Strategic Value Limited, Future Generation Australia Limited and Future Generation Global Limited. She holds a Bachelor of Commerce, a Graduate Diploma in Applied Finance and Investment, Graduate Diploma of Applied Corporate Governance and is a fully qualified CA. She is a Graduate member of the AICD (GAICD).

Kate Thorley is a Director of WAM Active Limited (appointed July 2014), WAM Research Limited (appointed August 2014), Future Generation Australia Limited (appointed April 2015), WAM Capital Limited (appointed August 2016), WAM Microcap Limited (appointed March 2017), WAM Global Limited (appointed February 2018), Future Generation Global Limited (appointed March 2021) and WAM Strategic Value Limited (appointed March 2021).
",319580,1.45,463391,Yes,wle_kate_thorley,
WLE,WAM Leaders Limited,2023,Alexa Henderson,2023,No,Yes,No,Director - Independent,"Chair of the Audit and Risk Committee.

Alexa Henderson has over 30 years' global experience in finance, accounting and audit having previously held roles with KPMG, Arthur Andersen and Deutsche Bank (WM Company). Alexa is currently a non-executive director of abrdn UK Smaller Companies Growth Trust PLC, James Walker (Leith) Limited and Chairman of JPMorgan Japan Small Cap Growth and Income PLC. Alexa holds a Bachelor of Science in Economics and Accounting from Edinburgh University and is a Chartered Accountant.

Alexa Henderson is currently Chairman of JPMorgan Japan Small Cap Growth and Income PLC (appointed April 2016) and non-executive director of James Walker (Leith) Limited (appointed December 2013) and abrdn UK Smaller Companies Growth Trust PLC (appointed October 2018).",25000,1.45,36250,No,wle_alexa_henderson,
WLE,WAM Leaders Limited,2023,Lindsay Mann,2016,No,Yes,No,Director - Independent,"Member of the Audit and Risk Committee.

Lindsay Mann has more than 49 years' financial services experience. He was formerly Chairman of Premium Investors Pty Limited (formerly Premium Investors Limited). Prior to that, Lindsay was CEO (Singapore) and Regional Head Asia for First State Investments, the Asian business of Colonial First State Global Asset Management. Prior to this, Lindsay was CEO of AXA Investment Managers in Hong Kong. He is a Fellow of the Institute of Actuaries of Australia and a Graduate member of the AICD (GAICD).

Lindsay Mann is an independent non-executive director and Chair of Uniting Ethical Investors Limited (appointed September 2014) and an independent Director of WAM Capital Limited (appointed December 2012).",262576,1.45,380735,No,wle_lindsay_mann,
WLE,WAM Leaders Limited,2023,Dr. Ian Langford,2023,No,Yes,No,Director - Independent,"Member of the Audit and Risk Committee.

Dr Ian Langford holds a Bachelor's degree in Management, a Master of Arts, a Master of Defence Studies, a Master of Strategic Studies and a Doctor of Philosophy from Deakin University. With 30 years of experience and as a senior officer in the Australian Defence Force, Ian has led large and small teams in complex and ambiguous environments. Ian has held a range of appointments in the Army and Special Forces throughout his career. Ian commanded the 2nd Commando Regiment, as well as multiple Special Operations Task Groups in Afghanistan, Iraq, and on domestic counter-terrorism duties. Ian has also led at the strategic level, responsible for the Army's future strategic investments, future concepts and capabilities, major capital acquisitions and critical sustainment systems as the Head of Land Capability on two separate occasions in both 2019/20 and again in 2022. Ian has been awarded several Australian commendations, and the Distinguished Service Cross on three occasions. In 2019, he was appointed as an Honorary Aide de Camp to the Governor-General of the Commonwealth of Australia.",0,1.45,0,No,wle_ian_langford,
WLE,WAM Leaders Limited,2023,Matthew Haupt,2016,No,No,Yes,Lead Portfolio Manager,"Matthew has more than 20 years' experience in the investment industry working as both a portfolio manager and analyst. Prior to joining Wilson Asset Management, Matthew gained extensive large-cap experience in his previous role within Australian Executor Trustees (now part of IOOF). Matthew is the Lead Portfolio Manager responsible for WAM Leaders.",,,,Yes,wle_matthew_haupt,
WLE,WAM Leaders Limited,2023,John Ayoub,2016,No,No,Yes,Portfolio Manager,"John joined Wilson Asset Management in 2016 at the inception of WAM Leaders. John has 14 years' industry experience, working at Credit Suisse as a director in equity sales and trading, focusing on both large and small-cap companies. Prior to this, John worked as a research analyst and in corporate finance at Ord Minnett and was previously a corporate lawyer.",,,,Yes,wle_john_ayoub,
RG8,Regal Asian Investments Limited,2023,Lawrence Myers,2019,Yes,Yes,No,Independent Chairman,"Member of the Company's Audit and Risk Committee.

Mr Myers is the Founder and Managing Director of MBP Advisory Pty Limited, a prominent, high-end Sydney firm of Chartered Accountants which he established in 1998. Mr Myers is also the CEO of FIFO Investments Pty Limited, the family office for the Myers family and a number of associated families. Mr Myers' specialist areas of practice include mergers and acquisitions, corporate and business advisory, tax consulting and advisory, succession planning and family office services. Mr Myers is also a member of the Foundation board of the Art Gallery of New South Wales.

Mr Myers has been an Independent Director and Chairman of the Audit and Risk Committee of ASX-listed Breville Group Limited (ASX:BRG) since 2013 and has been its Lead Independent Director since August 2014 and its Deputy Chairman since August 2021. Mr Myers is also an Independent Director of VGI Partners Global Investments Limited (ASX:VG1).",600000,2.04,1224000,No,rg8_lawrence_myers,
RG8,Regal Asian Investments Limited,2023,Adelaide H McDonald,2019,No,Yes,No,Independent Director,"Chair of the Company's Audit and Risk Committee.

Ms McDonald has over 15 years' experience in corporate advisory and equity research. Ms McDonald is currently a Non-Executive Director of XTEK Limited (ASX:XTE) as well as an Executive Director of MDH Pty Ltd, one of Australia's largest integrated beef producers. In addition, Ms McDonald has held roles as a Director at KPMG in the Mergers and Acquisitions practice with previous roles at Wilson HTM and BDO Kendalls.

Ms McDonald is an Independent Director of VGI Partners Global Investments Limited (ASX:VG1). Ms McDonald is also a Non-Executive Director of XTEK Limited (ASX:XTE).",42817,2.04,87347,No,rg8_adelaide_mcdonald,
RG8,Regal Asian Investments Limited,2023,William F Brown,2019,No,Yes,No,Independent Director,"Member of the Company's Audit and Risk Committee.

Mr Brown has over 30 years of investment experience as a principal and advisor. Currently, Mr Brown is the Chief Investment Officer of Terrace Tower Group, a Sydney and New York based real estate and investment company started by John Saunders, one of two co-founders of Westfield Group. Mr Brown also has served as a Partner and member of the investment committee at AIM13, a multi-family investment office with more than US$1 billion invested in alternative assets. Previously, he was a Senior Portfolio Manager at Hartz Capital, a privately-owned multi-strategy hedge fund associated with the Leonard Stern family office. Prior to joining Hartz, Mr Brown worked at Berenson and Company, Credit Suisse First Boston, Lazard Frres and Lehman Brothers. Mr Brown began his investment career in 1989 as an investment banking analyst at Salomon Brothers Inc.",100000,2.04,204000,No,rg8_william_brown,
RG8,Regal Asian Investments Limited,2023,David F Jones AM,2020,No,Yes,No,Independent Director,"Mr Jones has more than 30 years' experience in investment markets, the majority as a general partner in private equity firms, and prior to that in general management and management consulting. Mr Jones has been a board member of numerous private and public businesses, including a number in the wealth management sector.

Mr Jones is the Chairman of VGI Partners Global Investments Limited (ASX:VG1).",110432,2.04,225281,No,rg8_david_jones,
RG8,Regal Asian Investments Limited,2023,Phillip King,2022,No,No,Yes,Chief Investment Officer of Regal Funds Management (Investment Manager),"Philip King is the Chief Investment Officer at Regal and is responsible for the Portfolio Management of the individual funds. Prior to joining Regal in January 2006, Philip worked for De Putron Fund Management (DPFM) in London as a hedge fund manager specialising in relative value and special situations. At that time DPFM managed nearly $2 billion in hedge funds. 

Prior to joining DPFM in 2000, Philip was an equities analyst at Macquarie Bank for over five years. Philip also worked at KPMG from 1987 to 1994 as a chartered accountant. 

Philip holds a Bachelor of Commerce (Honours) from the University of New South Wales and was inducted into the Funds Management Hall of Fame in 2019.",,,,Yes,rg8_phillip_king,
PAI,Platinum Asia Investments Limited,2023,Margaret Towers,2018,Yes,Yes,No,Chairperson and Independent Non-Executive Director,"Board Chair and member of the Audit, Risk and Compliance Committee. 

Ms Towers has over 35 years' experience operating at board and senior management levels within the wealth management and investment banking sectors of the Australian financial services industry. 

Ms Towers is a Non-Executive Director of Platinum Capital Limited. Ms Towers was previously a Non-Executive Director of Platinum Asset Management Limited (serving on its Audit, Risk and Compliance Committee and Nomination and Remuneration Committee) and IMB Limited (serving as Chair and member of IMB's Risk Committee, Audit Committee and Financial Planning Committee).",59000,0.86,50740,No,pai_margaret_towers,
PAI,Platinum Asia Investments Limited,2023,Ian Hunter,2015,No,Yes,No,Independent Non-Executive Director,"Chair of the Audit, Risk and Compliance Committee. 

Mr Hunter has over 40 years' experience in finance and the investment industry having held several roles in corporate finance and equity capital markets at international banks. 

Mr Hunter is a Non-Executive Director of Platinum Capital Limited and Ironbark Capital Limited and was previously a Non-Executive Director of several other listed companies.",200001,0.86,172001,No,pai_ian_hunter,
PAI,Platinum Asia Investments Limited,2023,Richard Morath,2021,No,Yes,No,Independent Non-Executive Director,"Member of the Audit, Risk and Compliance Committee. 

Mr Morath has over 40 years' experience in life insurance, funds management, banking and financial planning. 

Mr Morath is a Non-Executive Director of Platinum Capital Limited.",47000,0.86,40420,No,pai_richard_morath,
PAI,Platinum Asia Investments Limited,2023,Andrew Clifford,2015,No,No,Yes,Portfolio Manager. Chief Executive Officer and Co-Chief Investment Officer at Platinum Asset Management (Investment Manager).,"Andrew co-founded Platinum in 1994 as the Deputy Chief Investment Officer, having worked alongside Kerr Neilson for several years at Bankers Trust and perfecting the craft of uncovering the overlooked gems in the stock market. Andrew believed that irrational market sentiments and the consequential short-term volatility can often lead to opportunity in companies whose true worth is temporarily under-appreciated. The approach worked for Andrew at Bankers Trust where the BT Select Market Trust  Pacific Basin Fund that he managed was a great success, and he has been applying and refining the same methodology over 25 years to generate strong returns for Platinum's investors. 

Since taking over the role of Chief Investment Officer in 2013, Andrew has spent considerable time and effort on improving the organisational structure of the gradually-expanding investment team to make the execution of our investment process more seamless and efficient. Andrew's investment experience at Platinum has included managing/co-managing the Platinum International Technology Fund, the Platinum Asia Fund and the Platinum International Fund. He currently co-manages Platinum's Global strategies and Asia ex-Japan strategies. Andrew took over the role of Chief Executive Officer of the Platinum Group in July 2018.",,,,Yes,pai_andrew_clifford,
PAI,Platinum Asia Investments Limited,2023,Cameron Robertson,2015,No,No,Yes,Portfolio Manager,"Cameron joined Platinum in 2010, initially focusing on resources and industrial companies, and later on the technology and communications sectors. 

In early 2017, Cameron was appointed as co-manager of the Platinum International Technology Fund and was later the sector lead of the technology and communications team. In April 2021, Cameron was appointed a co-manager of Platinum's Asia ex Japan strategy. Prior to Platinum he worked as an equity analyst at CP2 (formerly Capital Partners) for several years.",,,,Yes,pai_cameron_robertson,
PAI,Platinum Asia Investments Limited,2023,Kirit Hira,2016,No,No,Yes,Portfolio Manager,"Kirit joined Platinum in 2016 as an investment analyst in the industrials and resource sector team. In December 2019, he joined the Asia regional team and became a co-portfolio manager of the Asia ex Japan strategies in October 2022. Previously, Kirit spent eight years at Macquarie Group as an oil and gas analyst covering the Australian energy sector and global gas markets. Prior to that, Kirit had worked at AMP Capital in Sydney and completed an internship at ExxonMobil in Melbourne.",,,,Yes,pai_kirit_hira,
